 Experiment N , 100 ,,,,,,,,, bin N ,1000,,aliali,,,,,,,,
,,,,,,,,,,,, 15 ,,,,,,,,,
"""2_DNN_3_None""","""2_Hyperheuristic_3_None""","""5_DNN_3_None""","""5_Hyperheuristic_3_None""","""2_DNN_3_DTS""","""2_Hyperheuristic_3_DTS""","""5_DNN_3_DTS""","""5_Hyperheuristic_3_DTS""",Decima,,,, 429 ," ""2_DNN_3_None"" "," ""2_Hyperheuristic_3_None"" "," ""5_DNN_3_None"" "," ""5_Hyperheuristic_3_None"" "," ""2_DNN_3_DTS"" "," ""2_Hyperheuristic_3_DTS"" "," ""5_DNN_3_DTS"" "," ""5_Hyperheuristic_3_DTS"" ", Decima 
 21 , 197 , 23 , 200 , 17 , 22 , 18 , 32 , 17 ,,, 77 , 47 ,100%,31%,99%,42%,96%,46%,96%,38%,100%
 24 , 224 , 25 , 51 , 19 , 28 , 17 , 288 , 17 ,,, 78 , 48 ,100%,31%,100%,43%,96%,46%,96%,38%,100%
 20 , 34 , 22 , 65 , 20 , 20 , 40 , 28 , 16 ,,, 79 , 48 ,100%,31%,100%,43%,96%,46%,96%,38%,100%
 27 , 198 , 23 , 29 , 18 , 156 , 24 , 25 , 17 ,,, 80 , 48 ,100%,32%,100%,43%,96%,46%,96%,38%,100%
 33 , 23 , 27 , 31 , 16 , 22 , 22 , 46 , 17 ,,, 81 , 49 ,100%,32%,100%,43%,96%,46%,96%,39%,100%
 22 , 229 , 24 , 220 , 17 , 23 , 17 , 29 , 17 ,,, 82 , 49 ,100%,32%,100%,43%,96%,47%,96%,40%,100%
 20 , 217 , 23 , 37 , 15 , 25 , 18 , 21 , 19 ,,, 83 , 50 ,100%,33%,100%,43%,96%,47%,96%,41%,100%
 22 , 206 , 32 , 77 , 17 , 145 , 20 , 21 , 18 ,,, 84 , 50 ,100%,34%,100%,44%,96%,47%,96%,41%,100%
 29 , 40 , 23 , 207 , 18 , 25 , 16 , 241 , 17 ,,, 85 , 50 ,100%,34%,100%,44%,96%,48%,96%,42%,100%
 22 , 214 , 26 , 28 , 18 , 167 , 16 , 169 , 17 ,,, 86 , 51 ,100%,34%,100%,45%,96%,48%,96%,42%,100%
 22 , 72 , 24 , 194 , 17 , 25 , 18 , 27 , 17 ,,, 87 , 51 ,100%,34%,100%,45%,96%,48%,96%,42%,100%
 32 , 43 , 26 , 45 , 23 , 51 , 165 , 174 , 16 ,,, 88 , 52 ,100%,34%,100%,45%,96%,48%,96%,42%,100%
 34 , 27 , 20 , 72 , 19 , 192 , 17 , 49 , 17 ,,, 89 , 52 ,100%,34%,100%,45%,96%,49%,96%,42%,100%
 21 , 70 , 46 , 46 , 21 , 322 , 19 , 148 , 17 ,,, 90 , 53 ,100%,35%,100%,45%,96%,49%,96%,43%,100%
 23 , 65 , 21 , 61 , 17 , 280 , 17 , 150 , 19 ,,, 91 , 53 ,100%,38%,100%,45%,96%,49%,96%,45%,100%
 24 , 196 , 36 , 197 , 20 , 150 , 19 , 21 , 17 ,,, 92 , 53 ,100%,38%,100%,46%,96%,49%,96%,45%,100%
 23 , 227 , 20 , 225 , 17 , 58 , 21 , 30 , 16 ,,, 93 , 54 ,100%,38%,100%,46%,96%,49%,96%,45%,100%
